"name","political","social","overall","age","gender"
"MEP",30.7,19.56,25.13,45,"Male"
"MEP",13.95,36.08,25.02,60,"Male"
"MEP",36.28,13.76,25.02,58,"Male"
"MEP",18.14,31.86,25,44,"Male"
"MEP",49.77,0,24.89,46,"Male"
"MEP",20.93,28.81,24.87,72,"Male"
"MEP",28.37,20.88,24.63,58,"Female"
"MEP",39.07,10.1,24.59,48,"Male"
"MEP",25.12,23.98,24.55,51,"Male"
"MEP",11.63,37.41,24.52,62,"Male"
"MEP",24.65,24.19,24.42,46,"Male"
"MEP",24.19,24.54,24.37,63,"Female"
"MEP",32.09,16.46,24.27,45,"Male"
"MEP",48.37,0,24.19,61,"Male"
"MEP",47.91,0,23.96,53,"Female"
"MEP",23.26,24.64,23.95,55,"Female"
"MEP",37.67,10.15,23.91,59,"Male"
"MEP",7.91,39.54,23.73,46,"Female"
"MEP",6.98,40,23.49,66,"Female"
"MEP",20,26.98,23.49,46,"Female"
"MEP",46.05,0.88,23.47,32,"Male"
"MEP",21.4,25.51,23.45,46,"Male"
"MEP",20,26.83,23.42,46,"Female"
"MEP",40.47,5.86,23.17,37,"Male"
"MEP",40.93,5.37,23.15,46,"Male"
"MEP",10.7,35.47,23.09,32,"Female"
"MEP",11.63,34.56,23.09,39,"Male"
"MEP",29.3,16.81,23.06,50,"Male"
"MEP",35.7,10.2,22.95,63,"Male"
"MEP",29.77,16.1,22.94,70,"Male"
"MEP",19.53,26.27,22.9,64,"Female"
"MEP",45.58,0,22.79,60,"Male"
"MEP",45.58,0,22.79,51,"Male"
"MEP",43.26,2.31,22.78,65,"Male"
"MEP",22.79,22.66,22.73,53,"Female"
"MEP",26.05,19.25,22.65,37,"Male"
"MEP",0.93,43.92,22.42,53,"Female"
"MEP",32.09,11.73,21.91,61,"Female"
"MEP",18.14,25.51,21.82,54,"Female"
"MEP",5.58,38.02,21.8,68,"Male"
"MEP",13.95,29.63,21.79,53,"Male"
"MEP",12.09,31.31,21.7,28,"Female"
"MEP",26.05,17.22,21.64,59,"Male"
"MEP",27.44,15.29,21.36,65,"Female"
"MEP",40,2.61,21.31,48,"Male"
"MEP",32.56,10,21.28,68,"Male"
"MEP",34.42,7.9,21.16,49,"Male"
"MEP",12.56,29.63,21.09,31,"Male"
"MEP",38.14,4,21.07,51,"Male"
"MEP",36.74,5.27,21.01,31,"Female"
"MEP",27.91,14.07,20.99,64,"Female"
"MEP",29.77,11.98,20.88,68,"Male"
"MEP",33.49,7.97,20.73,56,"Female"
"MEP",38.14,3.14,20.64,56,"Male"
"MEP",23.72,17.37,20.55,67,"Male"
"MEP",31.63,9.29,20.46,50,"Male"
"MEP",18.6,21.69,20.15,77,"Male"
"MEP",6.98,33.29,20.13,37,"Female"
"MEP",15.81,24.44,20.13,42,"Female"
"MEP",21.4,18.85,20.12,33,"Male"
"MEP",30.23,9.95,20.09,57,"Male"
"MEP",22.33,17.83,20.08,58,"Female"
"MEP",13.95,25.92,19.93,34,"Male"
"MEP",34.42,5.32,19.87,55,"Female"
"MEP",20.47,19,19.74,34,"Female"
"MEP",36.74,2.58,19.66,53,"Male"
"MEP",15.81,23.47,19.64,45,"Male"
"MEP",22.33,16.81,19.57,43,"Male"
"MEP",39.07,0,19.54,72,"Male"
"MEP",39.07,0,19.54,55,"Female"
"MEP",38.6,0,19.3,59,"Female"
"MEP",38.14,0,19.07,67,"Male"
"MEP",38.14,0,19.07,52,"Male"
